iter	Passed	Remaining
0	71	71609
1	81	40593
2	97	32468
3	104	25994
4	118	23670
5	137	22746
6	147	20993
7	161	20044
8	168	18555
9	186	18454
10	209	18862
11	222	18357
12	237	18013
13	248	17488
14	262	17219
15	267	16459
16	294	17029
17	309	16872
18	323	16688
19	338	16598
20	350	16323
21	364	16213
22	378	16096
23	394	16027
24	403	15720
25	411	15419
26	418	15081
27	422	14665
28	426	14287
29	430	13912
30	435	13622
31	441	13350
32	446	13095
33	452	12857
34	458	12632
35	463	12413
36	517	13473
37	558	14132
38	571	14094
39	577	13864
40	583	13642
41	588	13433
42	594	13232
43	601	13063
44	605	12841
45	614	12746
46	627	12723
47	647	12849
48	665	12922
49	681	12944
50	695	12946
51	710	12955
52	716	12797
53	725	12714
54	732	12579
55	738	12446
56	749	12398
57	756	12291
58	761	12151
59	765	11992
60	769	11848
61	781	11821
62	796	11846
63	806	11797
64	817	11755
65	830	11753
66	847	11796
67	857	11756
68	873	11782
69	886	11782
70	899	11772
71	910	11735
72	926	11764
73	937	11737
74	950	11719
75	963	11714
76	975	11699
77	991	11717
78	1006	11735
79	1017	11697
80	1031	11701
81	1046	11715
82	1060	11712
83	1078	11761
84	1084	11670
85	1088	11564
86	1100	11552
87	1113	11540
88	1121	11477
89	1128	11406
90	1136	11348
91	1144	11296
92	1152	11244
93	1162	11200
94	1168	11127
95	1179	11109
96	1193	11109
97	1204	11083
98	1219	11097
99	1229	11069
100	1244	11073
101	1259	11087
102	1267	11035
103	1276	10998
104	1286	10966
105	1298	10948
106	1310	10937
107	1321	10917
108	1337	10934
109	1346	10897
110	1357	10872
111	1362	10800
112	1373	10780
113	1378	10715
114	1398	10764
115	1411	10753
116	1419	10709
117	1434	10720
118	1440	10668
119	1448	10624
120	1454	10567
121	1460	10509
122	1470	10484
123	1484	10485
124	1501	10510
125	1510	10474
126	1523	10469
127	1528	10412
128	1534	10357
129	1563	10463
130	1569	10412
131	1582	10406
132	1597	10416
133	1608	10397
134	1619	10377
135	1640	10422
136	1660	10457
137	1678	10484
138	1687	10451
139	1693	10401
140	1698	10350
141	1708	10321
142	1720	10308
143	1727	10270
144	1739	10258
145	1757	10278
146	1768	10262
147	1785	10279
148	1792	10239
149	1810	10258
150	1828	10282
151	1848	10310
152	1865	10327
153	1880	10329
154	1892	10316
155	1901	10288
156	1913	10272
157	1931	10291
158	1948	10304
159	1961	10295
160	1970	10268
161	1982	10256
162	2000	10270
163	2017	10284
164	2031	10282
165	2044	10273
166	2059	10274
167	2070	10255
168	2079	10225
169	2095	10233
170	2105	10208
171	2118	10196
172	2128	10176
173	2141	10166
174	2154	10157
175	2162	10124
176	2172	10101
177	2177	10053
178	2189	10042
179	2201	10027
180	2214	10019
181	2236	10052
182	2245	10025
183	2249	9976
184	2257	9943
185	2268	9926
186	2279	9911
187	2289	9889
188	2305	9893
189	2318	9884
190	2331	9876
191	2336	9832
192	2348	9819
193	2356	9792
194	2362	9751
195	2367	9710
196	2372	9670
197	2377	9631
198	2382	9591
199	2388	9552
200	2393	9514
201	2398	9475
202	2432	9550
203	2439	9519
204	2443	9476
205	2449	9442
206	2462	9433
207	2471	9409
208	2481	9392
209	2492	9377
210	2506	9373
211	2511	9336
212	2517	9301
213	2522	9264
214	2527	9229
215	2584	9380
216	2591	9349
217	2600	9327
218	2607	9298
219	2633	9335
220	2641	9311
221	2665	9339
222	2673	9314
223	2678	9279
224	2684	9245
225	2689	9210
226	2695	9177
227	2700	9143
228	2705	9108
229	2760	9240
230	2790	9290
231	2803	9281
232	2808	9246
233	2813	9211
234	2819	9177
235	2876	9313
236	2895	9322
237	2908	9310
238	2911	9270
239	2917	9238
240	2922	9204
241	2927	9169
242	2971	9255
243	2992	9272
244	3001	9250
245	3006	9216
246	3012	9182
247	3036	9208
248	3040	9169
249	3057	9172
250	3070	9161
251	3078	9137
252	3090	9124
253	3095	9092
254	3136	9162
255	3153	9164
256	3159	9134
257	3174	9129
258	3180	9100
259	3190	9079
260	3200	9061
261	3212	9049
262	3221	9026
263	3225	8991
264	3238	8981
265	3247	8961
266	3258	8944
267	3268	8927
268	3280	8913
269	3292	8902
270	3302	8884
271	3311	8863
272	3320	8843
273	3327	8816
274	3337	8798
275	3349	8787
276	3361	8772
277	3373	8761
278	3384	8747
279	3397	8736
280	3409	8723
281	3422	8714
282	3434	8701
283	3449	8697
284	3458	8676
285	3470	8664
286	3480	8647
287	3491	8632
288	3505	8623
289	3516	8608
290	3526	8592
291	3538	8580
292	3551	8570
293	3561	8552
294	3574	8543
295	3580	8515
296	3585	8487
297	3624	8538
298	3634	8520
299	3643	8502
300	3653	8484
301	3666	8474
302	3676	8456
303	3690	8448
304	3698	8427
305	3707	8408
306	3717	8390
307	3723	8365
308	3734	8350
309	3745	8335
310	3754	8316
311	3765	8303
312	3775	8287
313	3786	8273
314	3798	8261
315	3811	8250
316	3822	8235
317	3833	8221
318	3843	8204
319	3854	8191
320	3868	8182
321	3878	8166
322	3891	8155
323	3895	8126
324	3900	8101
325	3907	8078
326	3911	8051
327	3920	8032
328	3938	8032
329	3946	8012
330	3960	8004
331	3972	7992
332	3981	7975
333	3987	7950
334	3992	7926
335	3997	7900
336	4002	7875
337	4057	7946
338	4072	7940
339	4077	7915
340	4083	7890
341	4088	7865
342	4115	7882
343	4142	7900
344	4154	7887
345	4189	7918
346	4200	7905
347	4229	7923
348	4234	7898
349	4245	7883
350	4258	7874
351	4273	7867
352	4282	7849
353	4293	7834
354	4298	7810
355	4314	7803
356	4324	7788
357	4337	7777
358	4351	7768
359	4366	7761
360	4377	7748
361	4391	7740
362	4405	7730
363	4419	7721
364	4433	7713
365	4445	7701
366	4458	7689
367	4474	7684
368	4490	7678
369	4505	7671
370	4513	7651
371	4521	7633
372	4531	7617
373	4543	7604
374	4556	7594
375	4570	7584
376	4577	7564
377	4590	7553
378	4606	7547
379	4618	7535
380	4633	7527
381	4638	7504
382	4643	7480
383	4648	7457
384	4653	7434
385	4658	7410
386	4664	7388
387	4669	7365
388	4674	7342
389	4680	7320
390	4751	7400
391	4756	7377
392	4760	7352
393	4775	7344
394	4788	7334
395	4799	7320
396	4809	7305
397	4821	7292
398	4832	7279
399	4846	7269
400	4858	7256
401	4871	7246
402	4881	7232
403	4893	7219
404	4907	7209
405	4921	7200
406	4936	7192
407	4950	7183
408	4964	7173
409	4976	7160
410	4988	7149
411	5003	7140
412	5009	7120
413	5017	7102
414	5028	7088
415	5040	7076
416	5046	7056
417	5060	7046
418	5071	7032
419	5083	7020
420	5093	7004
