iter	Passed	Remaining
0	65	65513
1	83	41582
2	101	33877
3	124	30998
4	131	26161
5	141	23452
6	158	22438
7	170	21139
8	177	19534
9	188	18692
10	201	18137
11	207	17052
12	211	16085
13	215	15208
14	224	14761
15	234	14443
16	247	14297
17	262	14311
18	276	14298
19	291	14269
20	309	14436
21	329	14632
22	358	15208
23	363	14788
24	371	14477
25	384	14411
26	388	13996
27	400	13900
28	410	13728
29	419	13554
30	424	13279
31	430	13025
32	436	12781
33	441	125534	553	15247
35	577	15464
36	588	15328
37	599	15172
38	604	14901
39	632	15172
40	637	14922
41	663	15140
42	678	15101
43	688	14961
44	694	14734
45	700	14518
4646	611	123947	735	14581
48	746	14479
4949	670	12730
50	685	12759
51	697	12714
52	710	12696
53	718	12591
54	732	12583
55	746	12585
56	757	12523
57	768	12487
58	782	12477
59	794	12449
60	827	12739
61	851	12876
62	869	12936
63	880	12879
64	891	12823
65	907	12845
66	922	12839
67	947	12989
68	957	12920
69	963	12801
70	969	12681
71	974	12565
72	980	12450
73	985	12337
74	991	12228
75	997	12121
76	1002	12016
77	1044	12346
78	1062	12389
79	1074	12352
80	1086	12321
81	1108	12407
82	1122	12405
83	1128	12304
84	1133	12205
85	1139	12108
86	1144	12014
87	1150	11924
88	1156	11834
89	1161	11747
90	1190	1279	12776
91	1294	12777
92	1307	12749
93	1318	12709
94	1328	12651
95	1350	12717
96	1364	12706
97	1382	12723
98	1388	12639
99	1394	12551
100	1401	12476
101	1413	12446
102	1433	12486
103	1453	12519
104	1473	12557
105	1490	12575
106	1495	12478
107	1502	12412
108	1506	12314
109	1510	12219
110	1514	12125
111	1517	12034
112	1521	11943
113	1526	11861
114	1538	11839
115	1554	11848
116	1565	11813
117	1571	11747
118	1585	11734
119	1594	11694
120	1602	11643
121	1611	11597
122	1621	11564
123	1628	11502
124	1633	11436
125	1642	1126	1547	10635
127	1127	1681	1128	1128	1695	1129	1129	1703	11403
130	1720	11411
131	1735	11411
132	1742	1133	1133	1752	1134	1662	10649
135	1681	10684
136	1687	10628
137	1137	1796	1138	1138	1802	1139	1139	1813	1140	1744	10627
141	1769	10693
142	1786	10704
143	1798	10690
144	1812	10685
145	1833	10722
146	1848	10725
147	1861	10718
148	1870	10683
149	1883	10672
150	1901	10693
151	1911	10665
152	1919	10624
153	1935	10631
154	1945	10606
155	1951	10555
156	1956	10505
157	1962	10456
158	1967	10408
159	1973	10360
160	1978	10310
161	1983	10260
162	2017	10357
163	2027	10337
164	2039	10322
165	2061	10356
166	2075	10354
167	2095	10378
168	2117	10411
169	2134	10422
170	2151	10432
171	2166	10427
172	2180	10424
173	2185	10375
174	2211	10427
175	2225	10418
176	2230	10373
177	2236	10327
178	2241	10282
179	2247	10237
180	2252	10193
181	2257	10147
182	2263	10104
183	2183	2370	1184	2184	2380	10488
185	2389	186	2306	10026
187	2318	10011
188	2331	10003
189	2341	9983
190	2360	9996
191	2375	9994
192	2396	10022
193	2410	10015
194	2428	10023
195	2447	10040
196	2452	9998
197	2478	10040
198	2488	10014
199	2500	10002
200	2529	10054
201	2542	10043
202	2557	10039
203	2565	10009
204	2584	10023
205	2597	10012
206	2611	10005
207	2623	9989
208	2634	9971
209	2648	9963
210	2652	9919
211	2666	9910
212	2683	9915
213	2698	9910
214	2713	9908
215	2724	9887
216	2727	9842
217	2736	9817
218	2748	9802
219	2762	9795
220	2776	9785
