id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
1,2020-01-01,,Month-to-month,Yes,Electronic check,29.85,29.85,DSL,No,Yes,No,No,No,No,Female,0,Yes,No,No,0
2,2017-04-01,,One year,No,Mailed check,56.95,1889.5,DSL,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
3,2019-10-01,2019-12-01,Month-to-month,Yes,Mailed check,53.85,108.15,DSL,Yes,Yes,No,No,No,No,Male,0,No,No,No,1
4,2016-05-01,,One year,No,Bank transfer (automatic),42.3,1840.75,DSL,Yes,No,Yes,Yes,No,No,Male,0,No,No,No,0
5,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,70.7,151.65,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6,2019-03-01,2019-11-01,Month-to-month,Yes,Electronic check,99.65,820.5,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
7,2018-04-01,,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,Yes,Yes,0
8,2019-04-01,,Month-to-month,No,Mailed check,29.75,301.9,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
9,2017-07-01,2019-11-01,Month-to-month,Yes,Electronic check,104.8,3046.05,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,1
10,2014-12-01,,One year,No,Bank transfer (automatic),56.15,3487.95,DSL,Yes,Yes,No,No,No,No,Male,0,No,Yes,No,0
1003,2018-05-01,,Month-to-month,No,Mailed check,20.0,417.7,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
1005,2015-09-01,,One year,Yes,Credit card (automatic),95.85,5016.25,Fiber optic,No,No,No,No,Yes,Yes,Female,1,Yes,No,Yes,0
1007,2018-06-01,2019-12-01,Month-to-month,Yes,Electronic check,90.1,1612.75,Fiber optic,No,No,No,Yes,No,Yes,Female,0,No,No,Yes,1
1009,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,68.95,119.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
1011,2017-02-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,Fiber optic,Yes,No,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
